COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
KIAMBUI,2001,"167,723",1200,1414,13 - 26
KIUNYU,2001,"691,037",1200,1414,13 - 26
NGUGUINI,2001,"613,271",1200,1383,13 - 26
CHEMA,2001,"303,672",1400,1684,13 - 24
KIAI,2001,"16,803",1400,1644,13 - 24
KIANGAI,2001,"466,440",1400,1644,13 - 24
KIANJEGE,2001,"412,345",1550,1446,13 - 26
KIBINGOTI,2001,"158,141",1200,1426,13 - 25
MUKANGU,2001,"600,780",1550,1650,13 - 26
RAGATI,2001,"724,100",1400,1704,13 - 24
THUNGURI,2001,"406,486",1400,1724,13 - 24
MBURI,2001,"229,721",1300,1495,13 - 25
RIANJUE,2001,"162,450",1200,1345,13 - 25
KIAMUTUIRA,2001,"26,632",1200,1560,13 - 25
GIKONGORO,2001,"577,606",1300,1444,13 - 25
GIKUI,2001,"488,272",1400,1628,13 - 24
KUIRI,2001,"520,903",1300,1432,13 - 26
RWARENE,2001,"319,790",1300,1421,13 - 26
KAGURU,2001,"171,489",1550,1500,14 - 24
KARIA,2001,"316,125",1200,1380,13 - 26
KATHANGENE,2001,"489,489",1300,1343,13 - 26
GITHUNE,2001,"60,872",1300,1457,13 - 25
KIERU,2001,"247,217",1300,1325,13 - 26
NTEMWENE,2001,"120,821",1300,1483,13 - 26
TAAI,2001,"27,940",1400,1564,13 - 25
KATHARE,2001,"103,436",1300,1343,13 - 26
MUTONGA,2001,"109,190",1400,1523,13 - 25
GACHIEGE,2001,"490,735",1300,1500,13 - 25
KIJIJONE,2001,"49,412",1400,1633,13 - 25
KINJO,2001,"464,563",1400,1661,13 - 25
RIJE,2001,"220,529",1400,1697,13 - 25
GITUGU,2001,"390,102",1300,1255,13 - 25
ITHIMA,2001,"362,533",1400,1255,13 - 25
KIAMIRIRU,2001,"220,398",1300,1580,13 - 25
NGONYI,2001,"479,534",1400,1837,13 - 25
NTHUNGU,2001,"98,862",1300,1708,13 - 26
KARINDINE,2001,"345,111",1300,1793,13 - 26
MAGANJO,2001,"356,104",1300,1440,13 - 25
MAURA,2001,"127,619",1400,1543,13 - 24
RWANKWARE,2001,"217,140",1300,1744,13 - 25
GATHIMA,2001,"142,263",1300,1565,13 - 25
GATUBU,2001,"350,558",1300,1590,13 - 25
GITURA,2001,"214,614",1300,1390,13 - 26
IYEGO MAIN,2001,"352,480",1300,1527,13 - 26
KABIRUINI,2001,"102,517",1300,1472,13 - 26
KIRANGANO,2001,"58,540",1300,1390,13 - 26
MARIMIRA,2001,"240,810",1000,1750,13 - 26
MUNUNGA,2001,"274,878",1300,1600,13 - 24
THANGATHI,2001,"78,156",1000,1750,13 - 26
WATUHA,2001,"146,368",1100,1700,13 - 25
GACIRAGO,2001,"583,959",1000,1750,13 - 26
GEITWA,2001,"288,928",1000,1750,13 - 26
ICHANJERU,2001,"30,249",1100,1730,13 - 24
MURIOWANDA,2001,"32,249",1000,1750,13 - 26
WATHENGE,2001,"333,454",1100,1700,13 - 24
GITARO,2001,"44,441",1000,1750,13 - 26
KAHURO,2001,"250,579",1200,1530,13 - 25
KIANJOGU,2001,"124,428",1200,1570,13 - 25
KIBOI,2001,"112,231",1200,1480,13 - 25
MBARI YA HITI,2001,"61,781",1200,1450,13 - 25
MITARAKWA,2001,"86,781",1200,1470,13 - 25
MURICHU,2001,"129,194",1100,1700,13 - 25
RWARO,2001,"65,721",1100,1650,13 - 26
YAMUGWE,2001,"90,815",1100,1630,13 - 26
GATHAMBA,2001,"13,277",1000,1750,13 - 26
GATHINJA,2001,"129,967",1100,1630,13 - 25
KAHUHIA,2001,"131,436",1100,1700,13 - 25
NGUTU,2001,"666,715",1000,1720,13 - 26
KEVOTE,2001,"266,318",1100,1700,13 - 25
KIANJUKI,2001,"249,175",1100,1700,13 - 26
NGAINDETHIA,2001,"124,461",1100,1750,13 - 26
KITHUNGURURU,2001,"208,529",1100,1700,13 - 26
KIVIUVI,2001,"207,492",1100,1750,13 - 26
KITHEGI,2001,"249,130",1100,1650,13 - 26
KITHIMU,2001,"384,825",1500,1590,12 - 27
MINAI,2001,"82,695",1550,1610,12 - 27
KITHANGARIRI,2001,"569,490",1500,1550,12 - 27
GITWARA,2001,"280,714",1600,1600,12 - 27
KIANYANGI,2001,"268,338",1600,1600,12 - 27
NGURWERI,2001,"292,041",1400,1400,12 - 27
GATUNDURI,2001,"848,471",1400,1420,12 - 27
KIHUMBU,2001,"688,470",1500,1430,12 - 27
MIRUNDI,2001,"811,934",1200,1600,11 - 25
THAMBO,2001,"208,577",1600,1740,12 - 25
KIRIMIRI,2001,"195,023",1600,1720,12 - 25
GACHAGORI,2001,"209,591",1600,1760,12 - 25
GACHUNGU,2001,"256,211",1600,1600,12 - 27
GAKWEGORI,2001,"163,174",1600,1600,12 - 27
KIAMICIRI,2002,"229,513",1200,1386,13 - 26
KIANGOTHE,2002,"544,821",1200,1531,13 - 26
KIMANDI,2002,"224,332",1400,1672,13 - 24
KIRINGA,2002,"579,303",1200,1558,13 - 26
KONYU,2002,"437,803",1200,1581,13 - 26
KANJUU,2002,"93,870",1200,1465,13 - 26
GITUTO,2002,"159,398",1500,1704,13 - 23
KIAMBUI,2002,"975,176",1200,1414,13 - 26
KIUNYU,2002,"599,424",1200,1414,13 - 26
NGUGUINI,2002,"435,799",1200,1383,13 - 26
CHEMA,2002,"219,910",1400,1684,13 - 24
KIAI,2002,"9,471",1400,1644,13 - 24
KIANGAI,2002,"374,279",1400,1644,13 - 24
KIANJEGE,2002,"438,114",1550,1446,13 - 26
KIBINGOTI,2002,"316,586",1200,1426,13 - 25
MUKANGU,2002,"363,347",1550,1650,13 - 26
RAGATI,2002,"418,781",1400,1704,13 - 24
THUNGURI,2002,"352,012",1400,1724,13 - 24
MBURI,2002,"819,139",1300,1495,13 - 25
RIANJUE,2002,"909,964",1200,1345,13 - 25
KIAMUTUIRA,2002,"30,267",1200,1560,13 - 25
GIKONGORO,2002,"112,635",1300,1444,13 - 25
