COUNTY,YEAR,PRODUCTION (Kgs),RAINFALL (mm),ALTITUTDE (M),TEMPERATURE (Degree Celsius)
KIERU,2005,"296,097",1300,1325,13 - 26
NTEMWENE,2005,"176,893",1300,1483,13 - 26
TAAI,2005,"43,449",1400,1564,13 - 25
KATHARE,2005,"229,708",1300,1343,13 - 26
MUTONGA,2005,"171,860",1400,1523,13 - 25
GACHIEGE,2005,"278,315",1300,1500,13 - 25
KIJIJONE,2005,"66,692",1400,1633,13 - 25
KINJO,2005,"383,548",1400,1661,13 - 25
RIJE,2005,"203,462",1400,1697,13 - 25
GITUGU,2005,"226,820",1300,1255,13 - 25
ITHIMA,2005,"258,091",1400,1255,13 - 25
KIAMIRIRU,2005,"95,683",1300,1580,13 - 25
NGONYI,2005,"452,989",1400,1837,13 - 25
NTHUNGU,2005,0,1300,1708,13 - 26
KARINDINE,2005,"387,525",1300,1793,13 - 26
MAGANJO,2005,"362,998",1300,1440,13 - 25
MAURA,2005,"121,952",1400,1543,13 - 24
RWANKWARE,2005,"258,652",1300,1744,13 - 25
GATHIMA,2005,"247,858",1300,1565,13 - 25
GATUBU,2005,"225,421",1300,1590,13 - 25
GITURA,2005,"307,071",1300,1390,13 - 26
IYEGO MAIN,2005,"392,743",1300,1527,13 - 26
KABIRUINI,2005,"128,302",1300,1472,13 - 26
KIRANGANO,2005,"85,607",1300,1390,13 - 26
MARIMIRA,2005,"280,721",1000,1750,13 - 26
MUNUNGA,2005,"284,318",1300,1600,13 - 24
THANGATHI,2005,"123,538",1000,1750,13 - 25
WATUHA,2005,"138,461",1100,1700,13 - 25
GACIRAGO,2005,"566,246",1000,1750,13 - 25
GEITWA,2005,"22,514",1000,1750,13 - 25
ICHANJERU,2005,"202,000",1100,1730,13 - 25
MURIOWANDA,2005,"30,345",1000,1750,13 - 26
WATHENGE,2005,"337,659",1100,1700,13 - 26
GITARO,2005,"10,250",1000,1750,13 - 25
KAHURO,2005,"290,900",1200,1530,13 - 24
KIANJOGU,2005,"145,496",1200,1570,13 - 25
KIBOI,2005,"181,966",1200,1480,13 - 25
MBARI YA HITI,2005,"106,000",1200,1450,13 - 25
MITARAKWA,2005,"38,043",1200,1470,13 - 26
MURICHU,2005,"281,706",1100,1700,13 - 26
RWARO,2005,"39,000",1100,1650,13 - 26
YAMUGWE,2005,"243,756",1100,1630,13 - 26
GATHAMBA,2005,"15,023",1000,1750,13 - 26
GATHINJA,2005,"138,553",1100,1630,13 - 24
KAHUHIA,2005,"125,368",1100,1700,13 - 25
NGUTU,2005,"380,126",1000,1720,13 - 25
KEVOTE,2005,"186,483",1100,1700,13 - 25
KIANJUKI,2005,"167,590",1100,1700,13 - 25
NGAINDETHIA,2005,"148,377",1100,1750,13 - 25
KITHUNGURURU,2005,"725,770",1100,1650,13 - 26
KIVIUVI,2005,"428,095",1100,1590,13 - 26
KITHEGI,2005,"45,959",1100,1610,13 - 25
KITHIMU,2005,"83,427",1500,1550,13 - 24
MINAI,2005,"82,695",1550,1610,13 - 25
KITHANGARIRI,2005,"531,019",1500,1550,13 - 25
GITWARA,2005,"235,841",1600,1600,13 - 25
KIANYANGI,2005,"230,575",1600,1600,13 - 26
NGURWERI,2005,"251,451",1400,1400,13 - 26
GATUNDURI,2005,"488,657",1400,1420,13 - 26
KIHUMBU,2005,"270,386",1500,1430,13 - 26
MIRUNDI,2005,"414,150",1100,1750,13 - 26
THAMBO,2005,"123,957",1100,1650,13 - 24
KIRIMIRI,2005,"102,917",1100,1590,
GACHAGORI,2005,"151,561",1100,1610,
GACHUNGU,2005,"181,239",1100,1550,
GAKWEGORI,2005,"162,567",1100,1550,
